date,base,rate,value
2020-07-03,EUR,CAD,1.5233
2020-07-03,EUR,HKD,8.6987
2020-07-03,EUR,ISK,156.3
2020-07-03,EUR,PHP,55.536
2020-07-03,EUR,DKK,7.4516
2020-07-03,EUR,HUF,352.55
2020-07-03,EUR,CZK,26.665
2020-07-03,EUR,AUD,1.6175
2020-07-03,EUR,RON,4.837
2020-07-03,EUR,SEK,10.4715
2020-07-03,EUR,IDR,16286.02
2020-07-03,EUR,INR,83.821
2020-07-03,EUR,BRL,6.0117
2020-07-03,EUR,RUB,80.2153
2020-07-03,EUR,HRK,7.557
2020-07-03,EUR,JPY,120.68
2020-07-03,EUR,THB,34.918
2020-07-03,EUR,CHF,1.0623
2020-07-03,EUR,SGD,1.5654
2020-07-03,EUR,PLN,4.4687
2020-07-03,EUR,BGN,1.9558
2020-07-03,EUR,TRY,7.6957
2020-07-03,EUR,CNY,7.931
2020-07-03,EUR,NOK,10.6775
2020-07-03,EUR,NZD,1.7204
2020-07-03,EUR,ZAR,19.1761
2020-07-03,EUR,USD,1.1224
2020-07-03,EUR,MXN,25.3049
2020-07-03,EUR,ILS,3.8567
2020-07-03,EUR,GBP,0.9012
2020-07-03,EUR,KRW,1346.54
2020-07-03,EUR,MYR,4.8123
